NodeID,Type,Ability,AvgTrustScore
855,Private,-5.86885,0.0049597
856,Private,2.51185,0.992526
857,Private,3.40719,0.996391
858,Private,-1.95424,0.0140657
859,Government,0.326522,0.9019
860,Private,-3.05921,0.00837716
861,Private,-2.48274,0.0087608
509,Private,3.02408,0.989684
863,Private,-5.59229,0.00823356
864,Government,4.6669,1
865,Private,6.63752,0.992841
866,Government,11.4808,1
867,Private,12.8984,0.995628
868,Private,-5.36661,0.00403292
869,Private,2.88335,0.993112
870,Private,-0.610784,0.213943
871,Private,7.0831,0.994442
872,Government,11.7071,1
873,Private,-2.08501,0.00770872
874,Private,11.1717,0.996549
875,Private,-13.6829,0.00318476
876,Government,-1.98509,0.444928
665,Private,-2.26958,0.00812234
650,Government,10.8104,1
651,Private,-5.31726,0.00941382
652,Private,-6.46326,0.00465167
653,Government,-1.02255,0.517988
654,Government,2.78153,1
655,Private,0.558638,0.778279
656,Private,2.98319,0.995635
657,Government,8.7607,1
658,Private,12.4585,0.996631
659,Government,4.22124,1
660,Private,6.75275,0.996066
661,Private,-2.75775,0.0149793
662,Government,-1.01612,0.417215
663,Private,-5.72237,0.00333045
664,Private,0.201382,0.612561
649,Government,1.53578,0.98158
667,Government,3.1666,1
668,Government,11.3138,1
669,Government,4.65814,1
670,Private,-0.908437,0.149414
671,Government,2.57477,0.998188
672,Government,6.56927,1
673,Private,-2.33293,0.00453541
674,Government,0.475673,0.920444
987,Private,-0.604111,0.205095
925,Private,-0.701577,0.164486
926,Government,7.54366,1
927,Government,2.93774,1
928,Private,-4.2288,0.00730017
929,Government,-1.67366,0.452061
930,Private,-2.73428,0.00798164
931,Private,15.5843,0.99633
932,Private,3.81224,0.989807
933,Private,-7.40361,0.00741763
934,Government,12.7739,1
935,Private,-2.60274,0.00997093
936,Private,-4.6694,0.0104063
937,Private,-10.5327,0.00312177
938,Government,18.6464,1
939,Government,2.76091,0.999876
893,Government,5.56797,1
878,Private,4.09747,0.995575
879,Government,-0.286483,0.843577
880,Private,15.2781,0.996926
881,Private,2.00335,0.971717
882,Private,2.02439,0.98741
883,Private,-2.33232,0.00503274
635,Private,2.60012,0.99037
636,Private,18.5313,0.996993
637,Private,5.94397,0.996476
638,Private,-6.54089,0.00440588
639,Government,0.594858,0.935477
640,Private,0.696015,0.855287
641,Private,3.76039,0.988392
642,Private,-2.55586,0.0051673
627,Government,9.87041,1
690,Private,12.2311,0.996837
644,Private,-1.43171,0.0472531
645,Government,-0.372527,0.727802
646,Private,-0.386491,0.302396
647,Private,-3.17376,0.00347745
648,Government,15.8507,1
666,Government,2.34473,0.998353
941,Private,-8.35473,0.0038926
942,Government,0.782782,0.958705
943,Private,-5.41531,0.00679421
944,Private,-12.0888,0.00402355
945,Private,0.201149,0.63309
946,Government,1.03654,0.9831
947,Private,-4.93722,0.00307685
948,Government,11.9199,1
949,Private,-2.47268,0.00627608
950,Private,-12.8451,0.00377447
951,Government,-1.05916,0.507544
952,Private,-7.74238,0.00544092
953,Private,-3.81649,0.0131278
954,Government,6.90878,1
955,Private,1.31856,0.95233
956,Private,-10.6026,0.00349297
957,Private,2.41685,0.991218
958,Private,-0.138614,0.428781
959,Government,4.94487,1
960,Private,5.92866,0.996558
961,Government,1.80169,0.996146
962,Government,4.10946,1
963,Private,5.13262,0.994517
964,Private,2.58251,0.993182
965,Private,-1.65172,0.0161714
966,Private,5.20574,0.99662
967,Private,6.10304,0.994555
968,Government,9.98808,1
969,Private,1.6804,0.965629
970,Private,2.49921,0.996194
971,Government,3.76334,1
972,Private,3.72991,0.987902
973,Government,12.2752,1
974,Private,3.74118,0.996557
975,Government,2.84562,1
976,Government,4.53066,1
977,Private,13.152,0.996306
978,Private,4.19733,0.994784
979,Private,2.34535,0.990611
980,Private,-9.86365,0.00441327
981,Government,12.3295,1
982,Private,-8.68226,0.00325912
983,Private,1.73516,0.976561
984,Private,2.51661,0.995332
985,Private,-2.31617,0.013094
986,Private,0.15278,0.645085
634,Government,11.391,1
988,Private,3.96432,0.995842
989,Private,1.14201,0.940724
990,Private,-13.9206,0.00299271
991,Private,-1.04756,0.0879195
992,Government,13.9135,1
993,Government,6.45737,1
994,Government,2.173,0.997666
995,Government,6.51189,1
996,Government,11.1344,1
997,Private,-9.03448,0.00523592
998,Private,8.95453,0.997044
999,Private,3.05597,0.994376
1000,Private,-15.1449,0.00392997
1001,Government,-0.173387,0.765736
